trial,location,year,environment,type,population,project1,project2,project3,planting_date,harvest_date,t3_trial_name,plot_dim,latitude,longitude
2015_S2C1F4_BZ15,Bozeman,2015,BZD15,spy,s2c1,Breeding,S2MET,PVV,20150424,20150831,S2C1_2015_Bozeman,NA,45.6732,-111.1541
2015_S2C1F4_HF15,Ithaca,2015,HNY15,spy,s2c1,Breeding,S2MET,PVV,20150504,20150831,S2C1_2015_IthacaHelfer,3.78,42.44556,-76.44095
2015_S2TP_BZ15,Bozeman,2015,BZD15,spy,s2tp,Breeding,S2MET,NA,20150429,20150831,S2TP_2015_Bozeman,NA,45.6732,-111.1541
2015_S2TP_CD15,Ithaca,2015,HNY15,spy,s2tp,Breeding,S2MET,NA,20150416,20150831,S2TP_2015_IthacaCaldwell,3.78,42.44556,-76.44095
2015_S2TP_HT15,Huntley,2015,HTM15,spy,s2tp,Breeding,S2MET,NA,20150409,20150831,S2TP_2015_Huntley,NA,45.92,-108.25
2015_S2TP_KT15,Ithaca,2015,KNY15,spy,s2tp,Breeding,S2MET,NA,20150505,20150831,S2TP_2015_IthacaKetola,3.78,42.47111,-76.43611
2015_SPY4_S2C1F4_CR15,Crookston,2015,CRM15,spy,s2c1,Breeding,S2MET,NA,20150427,20150831,S2C1_2015_Crookston,NA,47.818536,-96.613366
2015_SPY4_S2TP_CR15,Crookston,2015,CRM15,spy,s2tp,Breeding,S2MET,NA,20150416,20150831,S2TP_2015_Crookston,NA,47.818536,-96.613366
2015_SPY4_S2TP_StP15,St_Paul,2015,STP15,spy,s2tp,Breeding,S2MET,NA,20150416,20150831,S2TP_2015_StPaul,NA,44.990091,-93.18324
S2_MET_AID16,Aberdeen,2016,AID16,spy,s2met,Breeding,S2MET,NA,20160419,20160831,S2MET_2016_Aberdeen,4.64515,42.95333,-112.82666
S2_MET_ALV16,Alburgh,2016,ALV16,spy,s2c1r,Breeding,S2MET,NA,20160421,20160831,S2MET_2016_Alburgh,9.2903,45.011319,-73.308303
S2_MET_AWI16,Arlington,2016,AWI16,spy,s2met,Breeding,S2MET,NA,20160425,20160831,S2MET_2016_Arlington,4.64515,43.32724,-89.334503
S2_MET_BCW16,Buffalo_county,2016,BCW16,spy,s2met,Breeding,S2MET,NA,20160415,20160831,S2MET_2016_Buffalo_county,NA,44.3359889,-91.8369194
S2_MET_BZD16,Bozeman,2016,BZD16,spy,s2met,Breeding,S2MET,NA,20160420,20160831,S2MET_2016_Bozeman,NA,45.6732,-111.1541
S2_MET_BZI16,Bozeman,2016,BZI16,spy,s2met,Breeding,S2MET,NA,20160422,20160831,S2MET_2016_Bozeman,NA,45.6732,-111.1541
S2_MET_CHM16,Chatham,2016,CHM16,spy,s2met,Breeding,S2MET,NA,20160505,20160831,S2MET_2016_Chatham,6.68902,46.345576,-86.915621
S2_MET_CPE16,Charlottetown,2016,CPE16,spy,s2c1r,Breeding,S2MET,NA,20160519,20160831,S2MET_2016_Charlottetown,NA,46.345318,-63.17933
S2_MET_CRM16,Crookston,2016,CRM16,spy,s2met,Breeding,S2MET,NA,20160504,20160831,S2MET_2016_Crookston,1.48645,47.818536,-96.613366
S2_MET_EON16,Elora,2016,EON16,spy,s2met,Breeding,S2MET,NA,20160512,20160831,S2MET_2016_Elora,NA,43.633333,-80.416667
S2_MET_FND16,Fargo,2016,FND16,spy,s2met,Breeding,S2MET,NA,20160429,20160831,S2MET_2016_Fargo,NA,46.923481,-96.809311
S2_MET_HNY16,Ithaca,2016,HNY16,spy,s2met,Breeding,S2MET,NA,20160428,20160831,S2MET_2016_Ithaca2,4.5,42.44556,-76.44095
S2_MET_KNY16,Ithaca,2016,KNY16,spy,s2met,Breeding,S2MET,NA,20160420,20160831,S2MET_2016_Ithaca1,4.5,42.47111,-76.43611
S2_MET_MWI16,Madison,2016,MWI16,spy,s2met,Breeding,S2MET,NA,20160415,20160831,S2MET_2016_Madison,4.64515,43.070763,-89.541969
S2_MET_PQC16,Princeville,2016,PQC16,spy,s2met,Breeding,S2MET,NA,20160511,20160831,S2MET_2016_Princeville,3.7338,46.118065,-71.90757
S2_MET_STP16,St_Paul,2016,STP16,spy,s2met,Breeding,S2MET,NA,20160504,20160831,S2MET_2016_St_Paul,NA,44.990091,-93.18324
S2_MET_WLI16,West_lafayette,2016,WLI16,spy,s2met,Breeding,S2MET,NA,20160322,20160831,S2MET_2016_West_lafayette,NA,40.473004,-86.991187
S2_MET_AID17,Aberdeen,2017,AID17,spy,s2met,Breeding,S2MET,NA,20170412,20170831,S2MET_2017_Aberdeen,NA,42.95333,-112.82666
S2_MET_ALV17,Alburgh,2017,ALV17,spy,s2c1r,Breeding,S2MET,NA,20170427,20170831,S2MET_2017_Alburgh,NA,45.011319,-73.308303
S2_MET_AWI17,Arlington,2017,AWI17,spy,s2met,Breeding,S2MET,NA,20170408,20170831,S2MET_2017_Arlington,4.88,43.32724,-89.334503
S2_MET_BZD17,Bozeman,2017,BZD17,spy,s2met,Breeding,S2MET,NA,20170506,20170831,S2MET_2017_Bozeman,NA,45.6732,-111.1541
S2_MET_CHM17,Chatham,2017,CHM17,spy,s2met,Breeding,S2MET,NA,20170504,20170831,S2MET_2017_Chatham,6.651858,46.345576,-86.915621
S2_MET_COH17,Wooster,2017,COH17,spy,s2met,Breeding,S2MET,NA,20170418,20170831,S2MET_2017_Columbus,3.483864,40.772357,-81.916437
S2_MET_CPE17,Charlottetown,2017,CPE17,spy,s2c1r,Breeding,S2MET,NA,20170525,20170831,S2MET_2017_Charlottetown,NA,46.345318,-63.17933
S2_MET_CRM17,Crookston,2017,CRM17,spy,s2met,Breeding,S2MET,NA,20170509,20170831,S2MET_2017_Crookston,1.64128704,47.818536,-96.613366
S2_MET_EON17,Elora,2017,EON17,spy,s2met,Breeding,S2MET,NA,20170516,20170831,S2MET_2017_Elora,NA,43.633333,-80.416667
S2_MET_FND17,Fargo,2017,FND17,spy,s2met,Breeding,S2MET,NA,20170412,20170831,S2MET_2017_Fargo,NA,46.923481,-96.809311
S2_MET_GRO17,Grande_rhonde_valley,2017,GRO17,spy,s2c1r,Breeding,S2MET,NA,20170526,20170831,S2MET_2017_Grande_rhonde_valley,NA,45.5,-118
S2_MET_HNY17,Ithaca,2017,HNY17,spy,s2met,Breeding,S2MET,NA,20170501,20170831,S2MET_2017_Ithaca2,3.78,42.44556,-76.44095
S2_MET_HTM17,Huntley,2017,HTM17,spy,s2met,Breeding,S2MET,NA,20170411,20170831,S2MET_2017_Huntley,NA,45.92,-108.25
S2_MET_KNY17,Ithaca,2017,KNY17,spy,s2met,Breeding,S2MET,NA,20170426,20170831,S2MET_2017_Ithaca1,3.78,42.47111,-76.43611
S2_MET_MWI17,Madison,2017,MWI17,spy,s2met,Breeding,S2MET,NA,20170408,20170831,S2MET_2017_Madison,4.88,43.070763,-89.541969
S2_MET_PQC17,Princeville,2017,PQC17,spy,s2met,Breeding,S2MET,NA,20170512,20170831,S2MET_2017_Princeville,NA,46.118065,-71.90757
S2_MET_STP17,St_Paul,2017,STP17,spy,s2met,Breeding,S2MET,NA,20170424,20170831,S2MET_2017_St_Paul,1.48645,44.990091,-93.18324
S2_MET_WLI17,West_lafayette,2017,WLI17,spy,s2met,Breeding,S2MET,NA,20170326,20170831,S2MET_2017_West_lafayette,NA,40.473004,-86.991187
