trait,model,covariate,heritability,lower,upper
GrainProtein,apriori,grain_fill_maxt,0.3960335632891202,0.14440764395955313,0.6476594826186872
GrainProtein,apriori,grain_fill_water_stress,0.18574937552601734,-0.023461037169787285,0.394959788221822
GrainProtein,final,grain_fill_water_stress,0.17007549437996802,-0.002999680094284085,0.34315066885422013
GrainYield,apriori,flowering_mint,0.27805986120412973,0.01978559141563041,0.536334130992629
GrainYield,apriori,grain_fill_maxt,0.6492030766533397,0.41634261862864314,0.8820635346780361
GrainYield,apriori,grain_fill_water_stress,0.154749432868103,-0.06932643299431243,0.3788252987305184
GrainYield,final,grain_fill_maxt,0.7375130120169677,0.5320160147872129,0.9430100092467225
HeadingDate,apriori,vegetative_radn,0.17762189213455698,-0.05451499547056474,0.40975877973967867
HeadingDate,apriori,vegetative_tmean,0.47443573654831006,0.20344453309613508,0.745426940000485
HeadingDate,final,vegetative_radn,0.17762189213455698,-0.05451499547056474,0.40975877973967867
HeadingDate,final,vegetative_tmean,0.47443573654831006,0.20344453309613508,0.745426940000485
PlantHeight,apriori,flowering_radn,0.18335606444369115,-0.023481683439807804,0.3901938123271901
PlantHeight,apriori,flowering_tmean,0.4108731178188998,0.1832093864553914,0.6385368491824082
PlantHeight,apriori,vegetative_radn,0.17571206120973762,-0.09644298650376795,0.4478671089232432
PlantHeight,apriori,vegetative_tmean,0.031666427450465585,-0.10023168021147491,0.16356453511240607
PlantHeight,final,flowering_radn,0.2578615743067931,0.038640738974535876,0.47708240963905024
PlantHeight,final,flowering_tmean,0.4046137862521446,0.17862584678050467,0.6306017257237846
TestWeight,apriori,flowering_mint,0.12324408051560563,-0.0704743801893022,0.3169625412205135
TestWeight,apriori,grain_fill_maxt,0.41397878194251714,0.18388328361848774,0.6440742802665466
TestWeight,apriori,grain_fill_water_stress,0.49668045103381747,0.26440870737774735,0.7289521946898876
TestWeight,final,grain_fill_maxt,0.3478286855846614,0.12749453326592655,0.5681628379033963
TestWeight,final,grain_fill_water_stress,0.439561949462681,0.20228019671452818,0.6768437022108338
