environment,GrainProtein,GrainYield,HeadingDate,PlantHeight,TestWeight
AWI16,0.69,0.37,0.82,0.26,NA
AWI17,NA,NA,0.77,0.73,0.72
BCW16,NA,0.60,NA,NA,NA
BZD15,NA,0.25,0.95,0.88,NA
BZD16,0.65,0.18,0.77,0.46,0.73
BZD17,0.64,0.46,0.90,0.37,0.69
CHM16,0.58,0.73,0.69,0.67,0.62
CHM17,0.70,0.34,0.74,0.69,0.77
COH17,NA,0.65,NA,0.75,0.73
CRM15,0.17,0.22,0.91,0.48,NA
CRM16,NA,0.65,0.87,0.11,NA
CRM17,NA,NA,0.92,0.71,NA
EON16,NA,0.73,0.95,0.16,NA
EON17,NA,0.85,0.80,0.50,NA
FND16,NA,NA,0.87,0.60,NA
FND17,NA,0.21,0.76,0.79,NA
HNY16,NA,NA,0.88,0.47,NA
HNY17,NA,0.75,0.92,0.69,0.80
KNY16,0.73,NA,0.94,0.51,NA
KNY17,NA,NA,0.64,0.59,0.59
MWI16,NA,0.65,0.93,0.58,NA
MWI17,NA,0.24,0.95,0.25,NA
PQC16,0.69,0.61,0.90,0.23,0.94
PQC17,0.44,0.84,NA,0.53,0.66
STP16,0.84,0.90,0.94,0.32,NA
STP17,NA,0.61,0.97,0.73,NA
WLI16,NA,0.80,0.90,0.81,0.59
WLI17,NA,0.78,0.91,0.29,0.74
